ID,outsider,a1,a2,a3,a4,a5,a6,a7,a8,a9,b1,b2,b3,b4,b5,b6,b7,b8,b9,recommend,future_recommend,lookfor,future_lookfor,trust,firstknow,knowyear,experience,times
90,1,10,10,5,5,8,8,8,10,8,10,10,6,6,9,9,10,10,8,1,10,10,10,9,2014,5,6,1
91,1,9,9,10,10,9,8,9,7,7,8,9,10,10,9,9,10,8,10,1,10,9,10,10,2014,5,3.5,3
92,1,7,6,10,10,8,9,9,8,8,10,9,10,10,9,8,8,6,8,,,,,,,,,
93,1,8,7,7,6,4,8,7,7,9,6,7,8,9,9,8,9,8,5,1,10,0,10,10,2015,4,10,1
94,1,10,8,9,10,10,8,10,10,8,8,8,8,10,10,9,10,10,8,1,10,10,10,10,2014,5,2,1
95,1,7,7,9,8,5,6,8,7,6,3,5,9,9,6,6,8,6,6,1,8,6,7,7,2015,4,10,3
96,1,8,7,9,7,8,7,10,7,7,7,10,6,9,10,10,8,7,8,1,10,10,10,10,2014,5,10,2
97,1,4,9,5,6,7,7,9,4,9,6,9,9,9,7,7,10,6,10,1,8,7,7,8,2014,5,10,2
98,1,10,10,7,7,7,6,6,6,7,10,10,8,8,8,7,8,6,6,1,10,8,10,9,2016,3,10,1
99,1,5,9,10,9,9,5,10,9,10,6,10,7,10,9,9,10,8,10,1,10,10,10,8,2014,5,10,1
100,1,5,7,10,7,5,5,6,7,3,3,3,10,5,5,5,7,7,3,1,7,0,5,7,2015,4,6,1
101,1,10,10,6,9,8,8,10,10,6,9,9,7,10,10,10,9,8,10,1,10,10,10,9,2017,2,8.5,1
102,1,0,8,8,7,7,0,9,5,0,0,9,3,1,0,0,1,4,0,1,8,0,1,7,2016,3,3.5,1
103,1,5,10,10,6,6,6,8,2,1,7,10,10,8,5,5,7,1,1,0,2,0,1,8,2014,5,10,2
104,1,7,8,8,9,6,7,8,8,7,8,9,7,8,6,7,8,8,7,1,8,7,5,9,2016,3,10,2
105,1,10,10,10,7,8,10,8,10,10,10,10,10,8,10,10,8,10,10,1,10,10,10,10,2015,4,6,1
106,1,10,10,10,10,10,2,2,4,2,2,2,2,4,4,10,10,10,10,1,10,5,6,10,2014,5,10,1
107,1,8,9,2,5,5,8,9,9,6,9,9,5,7,7,9,10,9,8,1,10,6,7,9,2014,5,8.5,3
108,1,10,10,10,4,5,7,10,10,10,10,10,10,10,10,10,10,10,10,1,10,7,10,10,2014,5,3.5,2
109,1,7,9,10,10,5,6,7,9,10,8,9,10,9,7,6,10,8,10,1,10,10,10,8,2015,4,8.5,2
110,1,10,10,10,5,8,9,10,10,4,10,10,7,5,9,9,10,10,4,1,10,6,9,10,2016,3,8.5,1
111,1,5,5,4,9,4,10,10,9,9,9,9,8,8,5,8,8,8,8,1,8,5,10,9,2018,1,2,1
112,1,7,9,10,10,7,10,10,10,10,9,9,10,8,8,9,9,9,9,1,10,10,10,9,2018,1,2,1
113,1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,3,4,3,5,2014,5,3.5,5
114,1,9,10,9,10,8,7,9,9,9,9,9,9,10,10,8,9,9,10,0,6,1,6,10,2014,5,3.5,1
115,1,7,7,4,4,2,7,7,7,2,5,5,2,3,3,7,7,5,2,0,8,3,7,7,2018,1,3.5,1
116,1,9,9,8,7,8,6,8,9,8,9,9,8,8,6,6,9,6,7,1,9,10,10,8,2014,5,10,2
117,1,8,10,9,8,10,9,9,8,10,9,9,10,9,9,10,10,8,10,1,10,10,10,10,2016,3,6,1
118,1,9,8,3,7,9,5,5,3,5,7,8,3,9,8,4,4,4,8,1,8,3,3,9,2014,5,10,3
119,1,10,10,6,6,7,7,7,6,7,10,10,8,6,7,7,7,6,7,1,9,8,8,9,2016,3,8.5,1
120,1,8,9,4,6,4,9,9,7,9,10,9,3,6,8,9,3,3,5,0,6,7,8,8,2016,3,10,1
121,1,8,10,5,5,5,8,6,8,9,10,9,7,5,6,8,8,8,9,1,6,6,6,7,2017,2,10,1
122,1,8,10,8,8,9,10,8,10,9,6,9,10,10,6,10,7,7,8,1,9,8,9,9,2014,5,8.5,1
